Date,Weekday,Holiday Name,Holiday Type
1-Jan,Monday,New Year's Day,Federal Holiday
1-Jan,Monday,New Year's Eve observed,State holiday
4-Jan,Thursday,World Braille Day,Worldwide observance
6-Jan,Saturday,Epiphany,Christian
7-Jan,Sunday,Orthodox Christmas Day,Orthodox
7-Jan,Sunday,International Programmers' Day,Worldwide observance
12-Jan,Friday,Lee Jackson Day,State holiday
13-Jan,Saturday,Stephen Foster Memorial Day,Observance
14-Jan,Sunday,Orthodox New Year,Orthodox
15-Jan,Monday,Martin Luther King Jr. Day,Federal Holiday
15-Jan,Monday,Robert E Lee's Birthday,State holiday
15-Jan,Monday,State Holiday,State holiday
15-Jan,Monday,Idaho Human Rights Day,State holiday
15-Jan,Monday,Civil Rights Day,State holiday
19-Jan,Friday,Robert E Lee's Birthday,State holiday
19-Jan,Friday,State Holiday,State holiday
21-Jan,Sunday,World Religion Day,Worldwide observance
26-Jan,Friday,International Customs Day,Worldwide observance
27-Jan,Saturday,International Day of Commemoration in Memory of the Victims of the Holocaust,United Nations observance
28-Jan,Sunday,World Leprosy Day,Worldwide observance
29-Jan,Monday,Kansas Day,Observance
31-Jan,Wednesday,Tu Bishvat/Tu B'Shevat,Jewish holiday
1-Feb,Thursday,National Freedom Day,Observance
2-Feb,Friday,World Wetlands Day,Worldwide observance
2-Feb,Friday,Groundhog Day,Observance
2-Feb,Friday,National Wear Red Day,Observance
4-Feb,Sunday,World Cancer Day,United Nations observance
4-Feb,Sunday,Rosa Parks Day,Local observance
6-Feb,Tuesday,International Day of Zero Tolerance for Female Genital Mutilation,United Nations observance
11-Feb,Sunday,World Day of the Sick,Worldwide observance
12-Feb,Monday,Lincoln's Birthday,State holiday
12-Feb,Monday,Lincoln's Birthday,Local observance
13-Feb,Tuesday,Maha Shivaratri,Hindu Holiday
13-Feb,Tuesday,World Radio Day,United Nations observance
13-Feb,Tuesday,Shrove Tuesday/Mardi Gras,State holiday
13-Feb,Tuesday,Shrove Tuesday/Mardi Gras,Observance
13-Feb,Tuesday,Shrove Tuesday/Mardi Gras,Local observance
14-Feb,Wednesday,Ash Wednesday,Christian
14-Feb,Wednesday,Valentine's Day,Observance
14-Feb,Wednesday,Statehood Day in Arizona,Local observance
15-Feb,Thursday,Susan B Anthony's Birthday,Local observance
16-Feb,Friday,Chinese New Year,Observance
19-Feb,Monday,Presidents' Day,Federal Holiday
19-Feb,Monday,Daisy Gatson Bates Day,State holiday
20-Feb,Tuesday,World Day of Social Justice,United Nations observance
21-Feb,Wednesday,International Mother Language Day,United Nations observance
28-Feb,Wednesday,Linus Pauling Day,Local observance
1-Mar,Thursday,Purim,Jewish holiday
1-Mar,Thursday,Zero Discrimination Day,United Nations observance
1-Mar,Thursday,Self-Injury Awareness Day,Worldwide observance
1-Mar,Thursday,St. David's Day,Observance
2-Mar,Friday,Holi,Hindu Holiday
2-Mar,Friday,Texas Independence Day,State holiday
2-Mar,Friday,Read Across America Day,Observance
2-Mar,Friday,Employee Appreciation Day,Observance
3-Mar,Saturday,World Wildlife Day,United Nations observance
5-Mar,Monday,Casimir Pulaski Day,State holiday
6-Mar,Tuesday,Town Meeting Day Vermont,State holiday
8-Mar,Thursday,International Women's Day,United Nations observance
8-Mar,Thursday,World Kidney Day,Worldwide observance
11-Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
16-Mar,Friday,Evacuation Day observed,State holiday
17-Mar,Saturday,St. Patrick's Day,Observance
17-Mar,Saturday,Evacuation Day,State holiday
20-Mar,Tuesday,March equinox,Season
20-Mar,Tuesday,International Day of Happiness,United Nations observance
21-Mar,Wednesday,International Day for the Elimination of Racial Discrimination,United Nations observance
21-Mar,Wednesday,World Poetry Day,United Nations observance
21-Mar,Wednesday,International Day of Nowruz,United Nations observance
21-Mar,Wednesday,World Down Syndrome Day,United Nations observance
21-Mar,Wednesday,International Day of Forests,United Nations observance
22-Mar,Thursday,World Water Day,United Nations observance
23-Mar,Friday,World Meteorological Day,United Nations observance
24-Mar,Saturday,World Tuberculosis Day,United Nations observance
24-Mar,Saturday,International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims,United Nations observance
25-Mar,Sunday,Palm Sunday,Christian
25-Mar,Sunday,International Day of Remembrance of Slavery Victims and the Transatlantic Slave Trade,United Nations observance
25-Mar,Sunday,International Day of Solidarity with Detained and Missing Staff Members,United Nations observance
25-Mar,Sunday,Maryland Day,Local observance
26-Mar,Monday,Maryland Day observed,Local observance
26-Mar,Monday,Prince Jonah Kuhio Kalanianaole Day,State holiday
26-Mar,Monday,Seward's Day,State holiday
29-Mar,Thursday,Maundy Thursday,Christian
30-Mar,Friday,Good Friday,State holiday
31-Mar,Saturday,Holy Saturday,Christian
31-Mar,Saturday,Passover (first day),Jewish holiday
31-Mar,Saturday,Earth Hour,Worldwide observance
31-Mar,Saturday,CŽsar Ch‡vez Day,State holiday
1-Apr,Sunday,April Fool's Day,Worldwide observance
1-Apr,Sunday,Easter Sunday,"Observance, Christian"
2-Apr,Monday,World Autism Awareness Day,United Nations observance
2-Apr,Monday,Easter Monday,Christian
2-Apr,Monday,Pascua Florida Day,Local observance
4-Apr,Wednesday,United Nations' Mine Awareness Day,United Nations observance
6-Apr,Friday,Orthodox Good Friday,Orthodox
6-Apr,Friday,International Day of Sport for Development and Peace,United Nations observance
6-Apr,Friday,National Tartan Day,Observance
7-Apr,Saturday,Last Day of Passover,Jewish holiday
7-Apr,Saturday,Orthodox Holy Saturday,Orthodox
7-Apr,Saturday,United Nations' World Health Day,United Nations observance
7-Apr,Saturday,Day of Remembrance of the Victims of the Rwanda Genocide,United Nations observance
8-Apr,Sunday,Orthodox Easter,Orthodox
9-Apr,Monday,Orthodox Easter Monday,Orthodox
10-Apr,Tuesday,National Library Workers' Day,Observance
11-Apr,Wednesday,Yom HaShoah,Jewish holiday
12-Apr,Thursday,International Day of Human Space Flight,United Nations observance
13-Apr,Friday,Isra and Mi'raj,Muslim
13-Apr,Friday,Friday the 13th,Worldwide observance
13-Apr,Friday,Thomas Jefferson's Birthday,Observance
15-Apr,Sunday,Father Damien Day,Local observance
16-Apr,Monday,Emancipation Day,State holiday
16-Apr,Monday,Patriot's Day,State holiday
17-Apr,Tuesday,Tax Day,Observance
18-Apr,Wednesday,International Day for Monuments and Sites,Worldwide observance
19-Apr,Thursday,Yom Ha'atzmaut,Jewish holiday
20-Apr,Friday,Chinese Language Day,United Nations observance
21-Apr,Saturday,San Jacinto Day,State holiday
22-Apr,Sunday,Earth Day,Worldwide observance
22-Apr,Sunday,Oklahoma Day,Local observance
